Country/Region;Continent;Population;TotalRecovered;ActiveCases;Tot Cases/1M pop;Deaths/1M pop;Tests/1M pop;Recovered/1M pop;ActiveCases/1M pop
Mozambique;Africa;31333962;795;1310;68;0.5;2079;25;42
Rwanda;Africa;12981546;1258;848;163;0.4;22051;97;65
Suriname;South America;587154;1446;621;3570;49;4743;2463;1058
Guinea-Bissau;Africa;1972277;944;1061;1030;14;761;479;538
Benin;Africa;12151976;1600;298;159;3;7709;132;25
Iceland;Europe;341465;1825;95;5652;29;438385;5345;278
Yemen;Asia;29886897;898;362;59;17;4;30;12
Tunisia;Africa;11830801;1241;350;139;4;8478;105;30
New Zealand;Australia/Oceania;5002100;1524;23;314;4;97348;305;5
Angola;Africa;32956300;520;899;45;2;1965;16;27
Uruguay;South America;3474956;1079;202;379;11;36535;311;58
Latvia;Europe;1883936;1070;173;677;17;110359;568;92
Jordan;Asia;10213138;1171;50;121;1;61562;115;5
Uganda;Africa;45867852;1102;116;27;0.1;6287;24;3
Cyprus;Asia;1208238;856;333;1000;16;179267;708;276
Georgia;Asia;3988368;987;202;302;4;60294;247;51
Niger;Africa;24281433;1057;27;47;3;373;44;1
Togo;Africa;8296582;697;293;122;3;5516;84;35
Jamaica;North America;2962478;745;201;323;4;14123;251;68
Malta;Europe;441663;670;267;2142;20;309541;1517;605
Andorra;Europe;77278;828;64;12216;673;48526;10715;828
Gambia;Africa;2422754;136;783;386;7;2139;56;323
Sao Tome and Principe;Africa;219544;797;66;3999;68;14025;3630;301
Botswana;Africa;2356075;63;739;341;0.8;29041;27;314
Bahamas;North America;393616;91;656;1933;36;12230;231;1667
Vietnam;Asia;97425470;392;345;8;0.1;4952;4;4
Lesotho;Africa;2143943;175;544;346;11;4091;82;254
San Marino;Europe;33938;657;0;20596;1238;178797;19359;0
R?union;Africa;895952;592;74;749;6;39532;661;83
Channel Islands;Europe;174022;533;17;3431;270;176535;3063;98
Guyana;South America;786936;189;327;684;28;6563;240;416
Taiwan;Asia;23821199;443;27;20;0.3;3473;19;1
Burundi;Africa;11922216;304;90;33;0.08;1310;25;8
Myanmar;Asia;54446389;308;43;7;0.1;2246;6;1
Mauritius;Africa;1271985;334;0;270;8;161389;263;0
Isle of Man;Europe;85078;312;0;3949;282;101401;3667;0
Guadeloupe;North America;400131;179;86;697;35;46175;447;215
Martinique;North America;375235;98;163;736;40;32585;261;434
Aruba;North America;106812;114;146;2462;28;131511;1067;1367
Trinidad and Tobago;North America;1399950;135;67;150;6;6828;96;48
Cayman Islands;North America;65798;202;0;3085;15;472780;3070;0
Papua New Guinea;Australia/Oceania;8963009;53;107;18;0.3;1206;6;12
Sint Maarten;North America;42924;64;80;3728;373;25976;1491;1864
Bermuda;North America;62254;144;4;2522;145;423298;2313;64
Brunei ;Asia;437893;138;0;322;7;93968;315;0
Barbados;North America;287411;100;26;463;24;42563;348;90
Turks and Caicos;North America;38768;39;88;3327;52;32295;1006;2270
Monaco;Europe;39270;105;16;3183;102;972982;2674;407
Antigua and Barbuda;North America;98010;76;13;939;31;15305;775;133
Liechtenstein;Europe;38139;85;3;2334;26;23598;2229;79
Belize;North America;398312;31;53;216;5;9236;78;133
Saint Martin;North America;38729;41;9;1368;77;30546;1059;232
Cura?ao;North America;164161;28;2;189;6;6579;171;12
Fiji;Australia/Oceania;897095;18;8;30;1;7461;20;9
Montserrat;North America;4992;10;2;2604;200;12220;2003;401
